gene,rna_baseMean,rna_log2FC,rna_padj
Mrps12,62.46588171,-0.157531522,6.62E-01
Sars2,69.00366225,-0.204086289,0.532056809
Ccer2,2.317741884,0.0111212,0.984388819
Hnrnpl,3952.971854,0.044549132,0.7601863
Lgals7,2.739763618,-0.7909599,0.078465609
Capn12,16.74482746,-0.820124348,0.077301468
Dpf1,659.906051,-0.333238353,0.034192419
NEWGENE_1585333,6.954388998,0.401131133,0.43138053
Zfp30,13.01530647,-0.623440091,0.191879265
Zfp27,12.16381933,-0.689480464,0.143736183
Fam98c,80.39410853,-0.087300801,0.790677385
Spred3,74.98663088,0.132584045,0.682152416
Ggn,5.188517846,0.491895643,0.332574466
Psmd8,1165.364155,-0.391633181,0.003438233
Catsperg1,42.66358431,-0.658812374,0.048429868
LOC100359523,3.392678975,2.30E-04,0.999731169
Zfp566,3.908396011,-0.116692211,0.828002574
Zfp260,3.993817529,-0.152275383,0.77631542
Zfp382,784.5044559,-0.767141006,7.62E-08
LOC100912964,211.097751,-1.424588617,5.40E-13
Nfkbid,2.812491374,-0.092678324,0.858072948
Aplp1,11656.0594,-0.370334834,0.004863206
Prodh2,30.12850971,-0.726061067,0.052539032
Arhgap33,995.0579266,0.788767201,2.36E-07
Hspb6,26.327191,1.112371692,0.007561961
Lin37,191.2261795,-0.295207871,0.201464597
Psenen,946.8314192,-0.148559848,0.319662001
U2af1l4,443.1852294,-0.288145435,0.085155267
Igflr1,11.50109178,0.705809103,0.137477139
Kmt2b,435.7783411,0.113693668,0.550961797
LOC688869,1239.069779,0.204930258,0.153016651
Rbm42,352.2847353,0.010267333,0.96501882
Tmem147,654.3683029,-0.106705834,0.512198773
Sbsn,16.36694267,-0.344267413,0.459874324
Ffar2,3.643750663,-0.520874875,2.97E-01
Fxyd7,156.1638655,-0.65020928,3.62E-03
Fxyd3,13.06428444,1.657718422,0.001130864
Scn1b,4088.494646,-0.296909491,0.030277826
Gramd1a,926.8150082,-0.605996101,6.21E-05
RGD1563307,17.3790035,-0.495272507,0.263910974
LOC100910258,77.51538486,0.100396267,7.51E-01
Uba2,687.6838637,-0.469195841,0.001070006
Gpi,7111.668354,-0.243822055,0.073438435
Lrp3,530.191642,-0.17099446,0.42023324
Gpatch1,527.4532753,-0.247331445,0.119779352
Cep89,139.4089571,-0.042821165,0.868426624
Nudt19,340.7177319,-0.408685238,0.024619874
Tshz3,68.50449695,0.94215091,0.00112516
Ccne1,227.2725354,-0.710483851,1.43E-04
Pop4,488.300481,-0.481863854,0.002310181
