Source File,X (um),Y (um),Z (um)
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,0.2970655,2.193559,0.4734085
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,0.2934105,2.14338875,0.75745575
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,0.65238525,4.15338075,1.08965225
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,1.4231495,2.33189,0.807368
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,1.254826,4.693794,0.60893375
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,1.262867,4.75499375,0.8509915
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,2.23850475,4.49323125,0.81823625
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,2.61922675,3.5120465,1.12527775
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,3.13991375,4.0999425,0.660609
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,3.670437,4.3948365,1.333774
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,4.21523625,4.34498875,0.44731825
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,4.2227505,4.377185,0.68736575
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,5.21352425,4.1245385,1.09896175
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,6.29738225,3.8904465,0.70192125
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,6.37781375,4.6601465,0.907816
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,6.468877,4.7912535,1.158893
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,13.170599,4.05331975,1.2333045
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,13.2162865,3.970405,0.83433975
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,16.822546,2.89079325,0.63694825
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,17.24657975,3.0624815,0.97972275
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,22.9242675,0.34061375,0.8886165
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,23.16342275,2.55756475,0.7391055
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,33.50365425,2.3494985,0.860946
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,60.566016,3.01370875,0.93478775
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B_w2CY3-100_s1_d1.tif_d1_localizations,82.92282325,3.637456,1.1522065
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d1_localizations,1.49041225,3.028834,1.14608975
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d1_localizations,5.49878625,4.2710825,0.894443
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d1_localizations,8.5308345,3.35035575,0.5446165
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d1_localizations,8.5288995,3.33113475,0.65303025
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d1_localizations,29.878206,4.51640825,0.79675775
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d1_localizations,32.64492275,4.409306,0.72855975
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d1_localizations,52.00476975,3.895284,0.88538075
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d1_localizations,53.95408875,3.1293465,1.15408775
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d1_localizations,69.568711,4.15297225,0.777827
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d2_localizations,1.5036885,3.04075575,1.09399525
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d2_localizations,5.49878625,4.2710825,0.894443
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d2_localizations,29.872014,4.518096,0.7624975
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d2_localizations,52.00476975,3.895284,0.88538075
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d1.tif_d2_localizations,69.564884,4.14501725,0.769485
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d2.tif_d1_localizations,0.533372,3.08728175,1.11285075
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d2.tif_d1_localizations,5.28993525,2.07198725,0.48502925
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d2.tif_d1_localizations,5.29023625,2.05590525,0.7040605
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d2.tif_d1_localizations,6.266906,3.736657,0.913664
C2-MS2Cy5-PP7Cy3-DIV14-TTX+B2_w2CY3-100_s1_d2.tif_d1_localizations,8.09899625,3.58388875,1.194368
