"logFC","AveExpr","t","P.Value","adj.P.Val","B","PG.UniprotIds","PG.ProteinNames","PG.Genes"
-0.945129840383654,20.4195026785313,-1.03162020494544,0.336225160071711,0.69129271169995,-5.35064847448672,"P67984","RL22_MOUSE","Rpl22"
0.12018939792036,21.1785658824018,0.108753153190458,0.916418973965292,0.974105309541726,-5.86297689344676,"Q7TMK9","HNRPQ_MOUSE","Syncrip"
0.414205391998212,19.4024332199264,0.516785513167172,0.621065732400206,0.878666860043474,-5.73149395465228,"Q8BH59","S2512_MOUSE","Slc25a12"
-0.484282635713342,17.6895026366285,-0.468694924337737,0.653388293082554,0.892900872413569,-5.7555304324176,"Q76KJ5","RPA34_MOUSE","Polr1g"
-0.187512592683543,18.4522854979255,-0.145838442501517,0.888117827155368,0.968823961757321,-5.85802273266593,"Q91V61","SFXN3_MOUSE","Sfxn3"
-1.53766635292254,16.5848911397385,-0.702605340071698,0.504758956581605,0.809183837149838,-5.61884649399237,"Q8VDD5","MYH9_MOUSE","Myh9"
0.141963659593877,21.7750559407339,0.179852297099701,0.862312205545871,0.957483786759964,-5.85221898631161,"P12970","RL7A_MOUSE","Rpl7a"
0.285128034250512,16.3475536759366,0.136270375856085,0.895404674415756,0.969169483640094,-5.85943833909788,"Q9QXS6","DREB_MOUSE","Dbn1"
-0.144518048293115,19.6570495238197,-0.120248070390902,0.9076308044398,0.973214213580123,-5.86159494169081,"P39053","DYN1_MOUSE","Dnm1"
0.700710216874278,21.3732062385831,0.853065683044278,0.421565180321273,0.750946958231596,-5.50625375936041,"Q9JJV2","PROF2_MOUSE","Pfn2"
0.275261671191924,23.5543769467419,0.326513867501894,0.75348386371828,0.930221396660055,-5.81356222644452,"P17182","ENOA_MOUSE","Eno1"
-0.144604196373542,19.5082809962865,-0.166993611517265,0.872048566344159,0.960496533641643,-5.85455439026136,"O88342","WDR1_MOUSE","Wdr1"
0.133070684477374,20.6374634799444,0.142443874318954,0.890701776849885,0.968848705572581,-5.85853588630247,"Q9R0Q6","ARC1A_MOUSE","Arpc1a"
0.499273183769944,19.8294718452723,0.596751193215071,0.569271842945769,0.84752579308518,-5.68678256091144,"P35486","ODPA_MOUSE","Pdha1"
0.415095109015475,22.8397310983009,0.483986588779394,0.643019212961448,0.890431678256168,-5.7481238556385,"P56480","ATPB_MOUSE","Atp5f1b"
0.081884036056195,19.9310695437533,0.102187521880641,0.921444278018696,0.974105309541726,-5.86370420218281,"P62715","PP2AB_MOUSE","Ppp2cb"
