Gene Symbol,Entrez ID
Nop2,314969
Nop56,362214
Nop58,60373
Nos1ap,192363
Nov,81526
Nova1,298992
Npdc1,296562
Nphp1,296136
Nploc4,140639
Nprl2,363138
Nprl3,360505
Nptn,56064
Nptx1,266777
Npy1r,29358
Npy2r,66024
Npy5r,25340
Nrbp,619579
Nrgn,64356
Nrn1,83834
Nrn1l,100189544
Nrp1,246331
Nrp2,81527
Nrsn1,291129
Nrsn2,689978
Nrxn1,60391
Nrxn3,116508
Nsf,60355
Nsg2,497878
Nsun2,361191
Nsun6,307148
Nsun7,305339
Ntn3,114524
Ntng1,295382
Ntrk2,25054
Nts,299757
Nuak1,299694
Nub1,296731
Nucks1,64709
Nudc,29648
Nudcd1,362906
Nudcd3,100125378
Numbl,292732
Nup133,292085
Nup155,117021
Nup160,311182
Nup205,362335
Nup88,113929
Nupl1,245922
Nxf1,59087
Nxph3,59315
Oas1b,246268
Oaz1,25502
Odf2,29479
Odf2l,685425
Odz2,117242
Odz4,308831
Ogfod1,307657
Ola1,296488
Olfm1,93667
Olfml2a,296708
Olfml2b,304960
Olr59,170816
Omd,83717
Optn,246294
Orai2,304592
Orc4,295596
Orc5,362304
Ormdl3,360618
Os9,362891
Osbpl11,303888
Osbpl6,311129
Osbpl8,314824
Otub1,293705
Otub2,314405
Otud5,363452
Oxsr1,316064
Pabpc1,171350
Pabpc4,298510
Pabpn1,116697
Pacs1,171444
Pacsin1,29704
Paip2,361309
Paip2b,312490
Pak3,29433
Pak6,296078
Pank4,171053
Panx2,362979
Parg,83507
Parm1,286894
Parn,360464
Parp6,300759
Pcbp1,500242
Pcdh17,306055
Pcdh18,295027
Pcdh20,306081
Pcdhb13,307489
Pcdhb19,548106
Pcdhb20,680203
Pcdhb22,307486
Pcdhb6,291653
Pcdhga10,498849
Pcdhga11,252897
Pcdhga12,498850
Pcdhga3,498847
Pcnp,288165
Pcnxl2,307949
Pcp4,25510
Pcsk1,25204
Pcsk2,25121
Pcyox1,246302
Pcyox1l,307396
Pcyt1b,286936
Pdcd11,309458
Pdcd7,363082
Pde10a,63885
Pde1a,81529
Pde1b,29691
Pde4a,25638
Pde4b,24626
Pde4d,24627
Pdia3,29468
Pdlim3,114108
Pdpk1,81745
Pds5a,305343
Pdzd4,293856
Pdzrn3,312607
Peg10,678843
Peli1,305549
Penk,29237
Pfdn2,685607
Pfdn6,309629
Pfkfb2,24640
Pfkl,25741
Pfkp,60416
Pfn2,81531
Pgam1,24642
Pgbd5,292098
Pgk1,24644
Pgm1,24645
Pgm2,289632
Pgm2l1,685076
Pgrmc1,291948
Phactr1,306844
Phf20,311575
Phlpp2,498949
Phospho2,295663
Phtf1,252962
Phyhip,290356
Pi4k2a,114554
Pi4ka,64161
Pibf1,306104
Pigb,315807
Pigk,295543
Pign,309051
Pigt,296360
Pik3c3,65052
Pik3r1,25513
Pik3r2,29741
Pik3r4,363131
Pin1,298696
Pink1,298575
Pip4k2a,116723
Pip4k2b,89812
Pip4k2c,140607
Pip5k1a,365865
Pip5k1c,314641
Pithd1,298557
Pitpnb,114561
Pitpnm1,361694
Pitpnm2,304474
Pkd2,498328
Pkib,24678
Pkp2,287925
Pla2g2c,29387
Pla2g2d,298579
Pla2g6,360426
Plaa,116645
Plac8,360914
Plat,25692
Plcxd2,363781
Pld3,361527
Plekha5,246237
